Date : 2023-11-26 13:17:16
Directory : c:\Twitch_private
Total : 78 files,  5853 codes, 2439 comments, 996 blanks, all 9288 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| Python             |         71 |      5,345 |      2,439 |        980 |      8,764 |
| XML                |          2 |        447 |          0 |          0 |        447 |
| toml               |          1 |         30 |          0 |          9 |         39 |
| JSON with Comments |          1 |         20 |          0 |          3 |         23 |
| Batch              |          1 |          9 |          0 |          2 |         11 |
| Markdown           |          1 |          2 |          0 |          1 |          3 |
| JSON               |          1 |          0 |          0 |          1 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                  | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                     |         78 |      5,853 |      2,439 |        996 |      9,288 |
| . (Files)                                                             |          6 |         66 |          0 |         18 |         84 |
| CallbackServer                                                        |          2 |         39 |          3 |          5 |         47 |
| src                                                                   |         68 |      5,717 |      2,436 |        969 |      9,122 |
| src\Twitch                                                            |         68 |      5,717 |      2,436 |        969 |      9,122 |
| src\Twitch (Files)                                                    |          3 |        255 |        127 |         90 |        472 |
| src\Twitch\API                                                        |         43 |      3,764 |      1,790 |        649 |      6,203 |
| src\Twitch\API (Files)                                                |          5 |        860 |      1,254 |        197 |      2,311 |
| src\Twitch\API\Resources                                              |         34 |      2,831 |        536 |        442 |      3,809 |
| src\Twitch\API\test                                                   |          4 |         73 |          0 |         10 |         83 |
| src\Twitch\ChatInterface                                              |          6 |        902 |        519 |        163 |      1,584 |
| src\Twitch\EventSub                                                   |          3 |          8 |          0 |          1 |          9 |
| src\Twitch\OAuth                                                      |          5 |        563 |          0 |         18 |        581 |
| src\Twitch\OAuth (Files)                                              |          4 |        528 |          0 |         15 |        543 |
| src\Twitch\OAuth\test                                                 |          1 |         35 |          0 |          3 |         38 |
| src\Twitch\PubSub                                                     |          4 |         46 |          0 |         16 |         62 |
| src\Twitch\WebsocketClient                                            |          4 |        179 |          0 |         32 |        211 |
| src\Twitch\WebsocketClient (Files)                                    |          2 |         87 |          0 |         13 |        100 |
| src\Twitch\WebsocketClient\tests                                      |          2 |         92 |          0 |         19 |        111 |
